date,temp
0.01,22.6
0.06,22.6
0.11,22.66
0.16,22.73
0.21,22.76
0.26,22.8
0.31,22.8
0.36,22.83
0.41,22.9
0.46,22.93
0.51,22.93
0.56,22.93
1.01,23
1.06,22.96
1.11,22.96
1.16,23.1
1.21,23.26
1.26,23.23
1.31,23.46
1.36,23.46
1.41,23.43
1.46,23.5
1.51,23.43
1.56,23.43
2.01,23.36
2.06,23.36
2.11,23.33
2.16,23.23
2.21,23.23
2.26,23.27
2.31,23.33
2.36,23.33
2.41,23.43
2.46,23.47
2.51,23.5
2.56,23.9
3.01,24.13
3.06,24.33
3.11,24.5
3.16,24.6
3.21,24.6
3.26,24.6
3.31,24.63
3.36,24.7
3.41,24.73
3.46,24.73
3.51,24.66
3.56,24.63
4.01,24.66
4.06,24.6
4.11,24.6
4.16,24.57
4.21,24.53
4.26,24.5
4.31,24.5
4.36,24.43
4.41,24.4
4.46,24.43
4.51,24.4
4.56,24.4
5.01,24.4
5.06,24.43
5.11,24.43
5.16,24.33
5.21,24.27
5.26,24.27
5.31,24.33
5.36,24.3
5.41,24.33
5.46,24.36
5.51,24.3
5.56,24.3
6.01,24.3
6.06,24.27
6.11,24.26
6.16,24.23
6.21,24.23
6.26,24.3
6.31,24.26
6.36,24.23
6.41,24.3
6.46,24.37
6.51,24.4
6.56,24.33
7.01,24.4
7.06,24.43
7.11,24.47
7.16,24.5
7.21,24.5
7.26,24.53
7.31,24.5
7.36,24.53
7.41,24.46
7.46,24.43
7.51,24.4
7.56,24.43
8.01,24.53
8.06,24.56
8.11,24.66
8.16,24.7
8.21,24.73
8.26,24.57
8.31,24.63
8.36,24.66
8.41,24.76
8.46,24.8
8.51,24.83
8.56,24.93
9.01,24.97
9.06,24.96
9.11,25.03
9.16,25.1
9.21,25.1
9.26,24.83
9.31,24.56
9.36,24.43
9.41,24.5
9.46,24.53
9.51,24.66
9.56,24.7
10.06,24.53
10.11,24.5
10.16,24.5
10.21,24.53
10.26,24.7
10.31,24.53
10.36,24.57
10.41,24.53
10.46,24.46
10.51,24.5
10.56,24.57
11.01,24.9
11.06,25.03
11.11,25.4
11.16,25.43
11.21,25.5
11.26,25.56
11.31,25.36
11.36,25.73
11.41,26.2
11.46,26.23
11.51,26.07
12.01,25.9
12.06,26.13
12.11,26.3
12.16,25.93
12.21,26.13
12.26,26.43
12.31,26.56
12.36,26.53
12.41,26.13
12.46,26.36
12.51,26.86
13.01,26.76
13.06,26.8
13.11,26.7
13.16,27.06
13.21,26.96
13.26,26.6
13.31,26.8
13.36,26.4
13.41,26.4
13.46,26.5
13.51,26.8
14.01,26.9
14.06,26.5
14.11,26.66
14.16,26.8
14.21,26.9
14.26,26.8
14.31,27.13
14.36,26.57
14.41,26.43
14.46,26.3
14.51,26.3
14.56,26.43
15.01,26.46
15.06,26.27
15.11,26.33
15.16,26.1
15.21,26.17
15.26,26.3
15.31,26.2
15.36,26.23
15.41,26.2
15.46,26.2
15.51,26.13
15.56,26.16
16.01,26.07
16.06,25.93
16.11,25.9
16.16,25.97
16.21,26
16.26,26.1
16.31,26.03
16.36,25.97
16.41,25.96
16.46,26
16.51,25.97
16.56,25.96
17.01,25.9
17.06,25.77
17.11,25.73
17.16,25.66
17.21,25.56
17.26,25.53
17.31,25.53
17.36,25.63
17.41,25.53
17.46,25.57
17.51,25.5
17.56,25.43
18.01,25.43
18.06,25.47
18.11,25.5
18.16,25.43
18.21,25.46
18.26,25.43
18.31,25.53
18.36,25.5
18.41,25.4
18.46,25.37
18.51,25.37
18.56,25.43
19.01,25.36
19.06,25.26
19.11,25.23
19.16,25.3
19.21,25.33
19.26,25.26
19.31,25.3
19.36,25.27
19.41,25.27
19.46,25.23
19.51,25.2
19.56,25.17
20.01,25.17
20.06,25.17
20.11,25.2
20.16,25.2
20.21,25.13
20.26,25.07
20.31,25.03
20.36,25.06
20.41,25
20.46,25.03
20.51,25.03
20.56,25.03
21.01,25
21.06,25.06
21.11,24.96
21.16,24.97
21.21,24.93
21.26,24.93
21.31,24.96
21.36,25.06
21.41,25.17
21.46,25.27
21.51,25.3
21.56,25.3
22.01,25.23
22.06,25.13
22.11,25.03
22.16,24.77
22.21,24.46
22.26,24.43
22.31,24.46
22.36,24.56
22.41,24.5
22.46,24.47
22.51,24.46
22.56,24.43
23.01,24.43
23.06,24.46
23.11,24.53
23.16,24.5
23.21,24.4
23.26,24.27
23.31,24.26
23.36,24.33
23.41,24.3
23.46,24.3
23.51,24.3
23.56,24.37
