date,temp
0.01,21
0.06,20.96
0.11,20.83
0.16,20.86
0.21,20.9
0.26,20.86
0.31,20.87
0.36,20.83
0.41,20.76
0.46,20.7
0.51,20.63
0.56,20.6
1.01,20.66
1.06,20.63
1.11,20.56
1.16,20.56
1.21,20.53
1.26,20.47
1.31,20.4
1.36,20.33
1.41,20.37
1.46,20.36
1.51,20.33
1.56,20.4
2.01,20.46
2.06,20.4
2.11,20.4
2.16,20.36
2.21,20.36
2.26,20.37
2.31,20.4
2.36,20.43
2.41,20.43
2.46,20.5
2.51,20.4
2.56,20.33
3.01,20.43
3.06,20.36
3.11,20.36
3.16,20.37
3.21,20.4
3.26,20.33
3.31,20.3
3.36,20.26
3.41,20.3
3.46,20.23
3.51,20.13
3.56,19.9
4.01,19.77
4.06,19.86
4.11,19.9
4.16,19.87
4.21,19.96
4.26,20.03
4.31,19.9
4.36,19.93
4.41,19.93
4.46,20
4.51,19.96
4.56,19.93
5.01,20
5.06,19.93
5.11,19.8
5.16,19.8
5.21,19.73
5.26,19.56
5.31,19.63
5.36,19.9
5.41,19.96
5.46,19.93
5.51,19.93
5.56,19.93
6.01,20.03
6.06,19.97
6.11,20.03
6.16,19.96
6.21,19.96
6.26,19.96
6.31,20
6.36,20.03
6.41,20.03
6.46,20
6.51,19.96
6.56,19.96
7.01,19.96
7.06,20.03
7.11,20.1
7.16,20.06
7.21,20.06
7.26,20.07
7.31,20.4
7.36,20.5
7.41,20.53
7.46,20.6
7.51,20.63
7.56,20.86
8.01,20.93
8.06,21.13
8.11,21.03
8.16,21.4
8.21,21.56
8.26,21.36
8.31,21.83
8.36,21.97
8.41,22.03
8.46,22.3
8.51,21.83
8.56,21.93
9.01,22.2
9.06,22.2
9.11,22.7
9.16,22.8
9.21,23.13
9.26,23.17
9.31,23.17
9.36,23.46
9.41,23.53
9.46,23.76
9.51,24.33
9.56,24.2
10.06,24.3
10.11,24.93
10.16,24.8
10.21,24.8
10.26,25.13
10.31,25.4
10.36,25.36
10.41,25.57
10.46,25.53
10.51,25.67
10.56,25.36
11.01,25.73
11.06,25.87
11.11,25.86
11.16,25.53
11.21,25.7
11.26,26.03
11.31,25.93
11.36,25.7
11.41,25.86
11.46,25.9
11.51,25.96
12.01,25.87
12.06,25.76
12.11,25.6
12.16,25.86
12.21,26.16
12.26,26.1
12.31,25.76
12.36,25.83
12.41,25.93
12.46,25.8
12.51,25.83
13.01,25.7
13.06,25.67
13.11,26.03
13.16,25.93
13.21,25.93
13.26,25.93
13.31,25.9
13.36,26.3
13.41,26.46
13.46,25.9
13.51,25.9
14.01,25.93
14.06,25.9
14.11,26
14.16,25.7
14.21,26.16
14.26,26
14.31,25.96
14.36,25.63
14.41,25.7
14.46,25.76
14.51,25.57
14.56,25.5
15.01,25.63
15.06,25.5
15.11,25.5
15.16,25.5
15.21,25.3
15.26,25.23
15.31,25.13
15.36,25.06
15.41,25.07
15.46,24.8
15.51,24.6
15.56,24.67
16.01,24.53
16.06,24.7
16.11,24.5
16.16,24.23
16.21,24.13
16.26,24.2
16.31,24.06
16.36,24
16.41,23.63
16.46,23.63
16.51,23.63
16.56,23.4
17.01,23.3
17.06,23.2
17.11,23.1
17.16,22.97
17.21,23.03
17.26,23.03
17.31,23.03
17.36,23.1
17.41,23.06
17.46,22.93
17.51,22.93
17.56,22.9
18.01,22.9
18.06,23
18.11,22.93
18.16,23
18.21,22.86
18.26,23.03
18.31,22.93
18.36,22.76
18.41,22.8
18.46,22.76
18.51,22.73
18.56,22.7
19.01,22.6
19.06,22.43
19.11,22.43
19.16,22.37
19.21,22.27
19.26,22.17
19.31,22.23
19.36,22.36
19.41,22.3
19.46,22.3
19.51,22.06
19.56,22
20.01,22.03
20.06,21.97
20.11,21.9
20.16,21.9
20.21,21.83
20.26,21.86
20.31,21.7
20.36,21.66
20.41,21.63
20.46,21.63
20.51,21.53
20.56,21.56
21.01,21.46
21.06,21.36
21.11,21.43
21.16,21.73
21.21,21.8
21.26,21.53
21.31,21.43
21.36,21.53
21.41,21.4
21.46,21.4
21.51,21.33
21.56,21.33
22.01,21.23
22.06,21.17
22.11,21.2
22.16,21.03
22.21,20.9
22.26,20.77
22.31,20.7
22.36,20.76
22.41,20.62
22.46,20.43
22.51,20.4
22.56,20.37
23.01,20.33
23.06,20.4
23.11,20.33
23.16,20.23
23.21,20.2
23.26,20.16
23.31,20.2
23.36,20.17
23.41,20.3
23.46,20.22
23.51,20
23.56,20.15
