date,temp
0.01,20.8
0.06,20.66
0.11,20.66
0.16,20.53
0.21,20.53
0.26,20.43
0.31,20.43
0.36,20.4
0.41,20.4
0.46,20.37
0.51,20.36
0.56,20.43
1.01,20.33
1.06,20.33
1.11,20.33
1.16,20.37
1.21,20.26
1.26,20.2
1.31,20.17
1.36,20.2
1.41,20.13
1.46,20.17
1.51,20.26
1.56,20.26
2.01,20.26
2.06,20.27
2.11,20.23
2.16,20.13
2.21,20
2.26,20
2.31,20.03
2.36,19.96
2.41,20
2.46,19.93
2.51,19.93
2.56,19.93
3.01,19.93
3.06,19.9
3.11,19.86
3.16,19.8
3.21,19.83
3.26,19.83
3.31,19.86
3.36,19.86
3.41,19.87
3.46,19.9
3.51,20.06
3.56,19.93
4.01,20.03
4.06,20.03
4.11,19.86
4.16,19.8
4.21,19.77
4.26,19.73
4.31,19.86
4.36,19.73
4.41,19.86
4.46,19.93
4.51,19.93
4.56,20
5.01,20.03
5.06,20.13
5.11,20.33
5.16,20.4
5.21,20.43
5.26,20.36
5.31,20.27
5.36,20.13
5.41,20.1
5.46,20.07
5.51,20.06
5.56,20.17
6.01,20.27
6.06,20.2
6.11,20.1
6.16,20.03
6.21,20
6.26,19.9
6.31,19.93
6.36,19.96
6.41,20.07
6.46,20.06
6.51,20.03
6.56,19.97
7.01,20
7.06,20
7.11,19.97
7.16,20.03
7.21,20.2
7.26,20.3
7.31,20.33
7.36,20.3
7.41,20.37
7.46,20.26
7.51,20.2
7.56,20.2
8.01,20.56
8.06,20.5
8.11,21.03
8.16,21.43
8.21,21.73
8.26,22
8.31,22.07
8.36,22.1
8.41,22.3
8.46,22.17
8.51,22.07
8.56,22.2
9.01,22.53
9.06,22.86
9.11,23.06
9.16,23.3
9.21,23.2
9.26,23.36
9.31,23.83
9.36,23.83
9.41,23.76
9.46,23.76
9.51,24.03
9.56,24.4
10.06,24.56
10.11,24.43
10.16,24.57
10.21,24.87
10.26,24.87
10.31,24.73
10.36,24.87
10.41,24.9
10.46,25
10.51,25.13
10.56,25.36
11.01,25.16
11.06,25.33
11.11,25.27
11.16,25.46
11.21,25.67
11.26,26.13
11.31,26.36
11.36,26.33
11.41,26.3
11.46,26.03
11.51,26.4
12.01,26.1
12.06,26.23
12.11,26.6
12.16,26.46
12.21,26.6
12.26,26.53
12.31,26.8
12.36,26.9
12.41,26.93
12.46,27.17
12.51,27
13.01,26.87
13.06,26.8
13.11,27.16
13.16,27.4
13.21,26.96
13.26,26.63
13.31,26.76
13.36,26.33
13.41,26.73
13.46,26.5
13.51,26.53
14.01,26.8
14.06,26.5
14.11,26.36
14.16,26.53
14.21,27.06
14.26,27.13
14.31,26.8
14.36,26.47
14.41,26.53
14.46,26.93
14.51,26.8
14.56,26.83
15.01,26.37
15.06,26.23
15.11,26.26
15.16,26.33
15.21,26.13
15.26,26
15.31,26.17
15.36,25.93
15.41,25.7
15.46,25.67
15.51,25.6
15.56,25.67
16.01,25.6
16.06,25.43
16.11,25.2
16.16,25.1
16.21,24.86
16.26,24.9
16.31,24.77
16.36,24.7
16.41,24.73
16.46,24.7
16.51,24.6
16.56,24.53
17.01,24.43
17.06,24.36
17.11,24.33
17.16,24.17
17.21,24.07
17.26,24
17.31,23.93
17.36,23.93
17.41,23.83
17.46,23.6
17.51,23.4
17.56,23.4
18.01,23.6
18.06,23.5
18.11,23.4
18.16,23.4
18.21,23.5
18.26,23.36
18.31,23.3
18.36,23.13
18.41,23.2
18.46,23.06
18.51,23
18.56,23.2
19.01,23.26
19.06,23.2
19.11,23.16
19.16,23.07
19.21,23.1
19.26,23.13
19.31,23.03
19.36,23.33
19.41,23.3
19.46,23.36
19.51,23.56
19.56,23.46
20.01,23.43
20.06,23.46
20.11,23.4
20.16,23.37
20.21,23.3
20.26,23.23
20.31,23.1
20.36,23.06
20.41,23
20.46,22.93
20.51,22.87
20.56,22.87
21.01,22.8
21.06,22.73
21.11,22.7
21.16,22.63
21.21,22.67
21.26,22.63
21.31,22.53
21.36,22.53
21.41,22.4
21.46,22.46
21.51,22.33
21.56,22.26
22.01,22.4
22.06,22.36
22.11,22.16
22.16,21.9
22.21,21.83
22.26,21.93
22.31,21.93
22.36,21.9
22.41,21.77
22.46,21.7
22.51,21.63
22.56,21.63
23.01,21.63
23.06,21.67
23.11,21.66
23.16,21.76
23.21,21.7
23.26,21.6
23.31,21.53
23.36,21.5
23.41,21.47
23.46,21.5
23.51,21.6
23.56,21.66
23.76 ,21.6
