Date,Solar
0.01,0
0.06,0
0.11,0
0.16,0
0.21,0
0.26,0
0.31,0
0.36,0
0.41,0
0.46,0
0.51,0
0.56,0
1.01,0
1.06,0
1.11,0
1.16,0
1.21,0
1.26,0
1.31,0
1.36,0
1.41,0
1.46,0
1.51,0
1.56,0
2.01,0
2.06,0
2.11,0
2.16,0
2.21,0
2.26,0
2.31,0
2.36,0
2.41,0
2.46,0
2.51,0
2.56,0
3.01,0
3.06,0
3.11,0
3.16,0
3.21,0
3.26,0
3.31,0
3.36,0
3.41,0
3.46,0
3.51,0
3.56,0
4.01,0
4.06,0
4.11,0
4.16,0
4.21,0
4.26,0
4.31,0
4.36,0
4.41,0
4.46,0
4.51,0
4.56,0
5.01,0
5.06,0
5.11,0.8
5.16,0
5.21,0
5.26,0
5.31,0
5.36,0
5.41,0.8
5.46,0
5.51,0
5.56,0
6.01,0
6.06,0
6.11,0
6.16,0
6.21,0
6.26,0
6.31,0
6.36,0
6.41,0
6.46,0
6.51,0
6.56,0
7.01,0
7.06,0.8
7.11,0
7.16,0.8
7.21,1.6
7.26,7.5
7.31,5
7.36,5.8
7.41,7.5
7.46,10
7.51,10.8
7.56,14.2
8.01,14.1
8.06,16.6
8.11,19.1
8.16,18.3
8.21,19.2
8.26,23.3
8.31,42.5
8.36,30.8
8.41,59.1
8.46,28.3
8.51,20.8
8.56,31.7
9.01,72.5
9.06,80.8
9.11,83.3
9.16,86.6
9.21,89.1
9.26,92.5
9.31,96.7
9.36,99.2
9.41,102.5
9.46,105
9.51,109.1
9.56,154.1
10.01,60
10.06,61.6
10.11,58.3
10.16,58.3
10.21,58.3
10.26,63.3
10.31,65
10.36,69.1
10.41,64.1
10.46,61.6
10.51,75.8
10.56,72.5
11.01,75.8
11.06,75
11.11,72.5
11.16,71.7
11.21,76.6
11.26,83.3
11.31,84.2
11.36,78.3
11.41,79.1
11.46,100.8
11.51,84.2
11.56,85
12.01,76.7
12.06,80.8
12.11,85
12.16,102.5
12.21,105.8
12.26,92.5
12.31,85
12.36,80
12.41,76.6
12.46,65
12.51,70
12.56,65.8
13.01,45
13.06,53.3
13.11,50.8
13.16,65.8
13.21,55
13.26,59.1
13.31,65.8
13.36,46.6
13.41,58.3
13.46,58.3
13.51,76.6
13.56,52.5
14.01,40
14.06,35.8
14.11,22.5
14.16,28.3
14.21,33.3
14.26,48.3
14.31,47.5
14.36,52.5
14.41,104.2
14.46,99.2
14.51,29.1
14.56,100
15.01,42.5
15.06,31.6
15.11,30
15.16,49.1
15.21,45.8
15.26,14.2
15.31,8.3
15.36,35.8
15.41,4.2
15.46,4.1
15.51,14.2
15.56,16.7
16.01,24.1
16.06,20
16.11,6.7
16.16,4.1
16.21,3.3
16.26,0.8
16.31,0
16.36,0
16.41,0
16.46,0
16.51,0.8
16.56,0
17.01,0
17.06,0
17.11,0
17.16,0
17.21,0
17.26,0
17.31,0
17.36,0
17.41,0
17.46,0
17.51,0
17.56,0
18.01,0
18.06,0
18.11,0
18.16,0
18.21,0
18.26,0
18.31,0
18.36,0
18.41,0
18.46,0
18.51,0
18.56,0
19.01,0
19.06,0
19.11,0
19.16,0
19.21,0
19.26,0
19.31,0
19.36,0
19.41,0
19.46,0
19.51,0
19.56,0
20.01,0
20.06,0
20.11,0
20.16,0
20.21,0
20.26,0
20.31,0
20.36,0
20.41,0
20.46,0
20.51,0
20.56,0
21.01,0
21.06,0
21.11,0
21.16,0
21.21,0
21.26,0
21.31,0
21.36,0
21.41,0
21.46,0
21.51,0
21.56,0
22.01,0
22.06,0
22.11,0
22.16,0
22.21,0
22.26,0
22.31,0
22.36,0
22.41,0
22.46,0
22.51,0
22.56,0
23.01,0
23.06,0
23.11,0
23.16,0
23.21,0
23.26,0
23.31,0
23.36,0
23.41,
23.46,
23.51,
23.56,
