Date,Solar
0.01,0
0.06,0
0.11,0
0.16,0
0.21,0
0.26,0
0.31,0
0.36,0.8
0.41,0
0.46,0
0.51,0
0.56,0
1.01,0
1.06,0.8
1.11,0
1.16,0
1.21,0
1.26,0
1.31,0
1.36,0
1.41,0
1.46,0
1.51,0
1.56,0
2.01,0
2.06,0.8
2.11,0
2.16,0
2.21,0
2.26,0
2.31,0
2.36,0
2.41,0
2.46,0
2.51,0
2.56,0
3.01,0
3.06,0
3.11,0
3.16,0
3.21,0
3.26,0
3.31,0
3.36,0
3.41,0
3.46,0
3.51,0
3.56,0
4.01,0
4.06,0
4.11,0
4.16,0
4.21,0
4.26,0
4.31,0
4.36,0
4.41,0
4.46,0
4.51,0
4.56,0
5.01,0
5.06,0
5.11,0
5.16,0
5.21,0
5.26,0
5.31,0
5.36,0
5.41,0
5.46,0
5.51,0
5.56,0
6.01,0
6.06,0
6.11,0
6.16,0
6.21,0.8
6.26,0
6.31,0
6.36,0
6.41,0
6.46,0
6.51,0
6.56,0
7.01,0
7.06,0
7.11,0
7.16,0.8
7.21,0.8
7.26,3.3
7.31,11.7
7.36,15.8
7.41,18.3
7.46,3.3
7.51,2.5
7.56,2.5
8.01,2.5
8.06,35.8
8.11,39.1
8.16,43.3
8.21,46.6
8.26,50.8
8.31,53.3
8.36,57.5
8.41,61.7
8.46,65
8.51,15.8
8.56,22.5
9.01,24.2
9.06,80
9.11,81.7
9.16,86.7
9.21,90
9.26,93.3
9.31,97.5
9.36,100
9.41,103.3
9.46,105
9.51,108.3
9.56,110.8
10.01,114.1
10.06,116.6
10.11,119.2
10.16,121.7
10.21,124.1
10.26,127.5
10.31,130
10.36,133.3
10.41,135
10.46,137.5
10.51,140
10.56,145
11.01,145.8
11.06,64.2
11.11,50
11.16,168.3
11.21,187.5
11.26,190
11.31,100
11.36,173.3
11.41,70.8
11.46,82.5
11.51,25.8
11.56,62.5
12.01,158.3
12.06,178.3
12.11,215
12.16,45
12.21,29.1
12.26,31.7
12.31,35.8
12.36,56.6
12.41,100.8
12.46,48.3
12.51,166.7
12.56,164.1
13.01,167.5
13.06,45.8
13.11,52.5
13.16,42.5
13.21,34.1
13.26,28.3
13.31,30.8
13.36,34.1
13.41,33.3
13.46,144.1
13.51,100
13.56,15
14.01,79.1
14.06,13.3
14.11,35.8
14.16,100.8
14.21,110
14.26,103.3
14.31,100
14.36,96.7
14.41,69.1
14.46,94.1
14.51,86.7
14.56,62.5
15.01,60
15.06,20
15.11,62.5
15.16,71.7
15.21,67.5
15.26,55.8
15.31,36.7
15.36,50
15.41,12.5
15.46,10.8
15.51,11.7
15.56,16.7
16.01,10
16.06,10
16.11,9.2
16.16,6.6
16.21,5.8
16.26,5
16.31,0.8
16.36,0
16.41,0
16.46,0
16.51,0
16.56,0
17.01,0.8
17.06,0
17.11,0
17.16,0
17.21,0
17.26,0
17.31,0
17.36,0
17.41,0
17.46,0
17.51,0
17.56,0
18.01,0
18.06,0
18.11,0
18.16,0
18.21,0
18.26,0
18.31,0
18.36,0.8
18.41,0
18.46,0
18.51,0
18.56,0
19.01,0
19.06,0.8
19.11,0
19.16,0
19.21,0
19.26,0
19.31,0
19.36,0.8
19.41,0
19.46,0
19.51,0
19.56,0
20.01,0
20.06,0
20.11,0
20.16,0
20.21,0
20.26,0
20.31,0
20.36,0
20.41,0
20.46,0
20.51,0
20.56,0
21.01,0
21.06,0
21.11,0
21.16,0
21.21,0
21.26,0
21.31,0
21.36,0
21.41,0
21.46,0
21.51,0
21.56,0
22.01,0
22.06,0
22.11,0
22.16,0
22.21,0
22.26,0
22.31,0
22.36,0
22.41,0
22.46,0.4
22.51,0
22.56,0
23.01,0
23.06,0
23.11,0
23.16,0
23.21,0
23.26,0
23.31,0
23.36,0
23.41,0
23.46,
23.51,
23.56,
