Date,Solar
0.01,0
0.06,0
0.11,0
0.16,0
0.21,0
0.26,0
0.31,0
0.36,0
0.41,0
0.46,0
0.51,0
0.56,0
1.01,0
1.06,0
1.11,0
1.16,0
1.21,0.8
1.26,0
1.31,0
1.36,0
1.41,0
1.46,0
1.51,0
1.56,0
2.01,0
2.06,0
2.11,0
2.16,0
2.21,0.8
2.26,0
2.31,0
2.36,0
2.41,0
2.46,0
2.51,0
2.56,0
3.01,0
3.06,0
3.11,0
3.16,0
3.21,0.8
3.26,0
3.31,0
3.36,0
3.41,0
3.46,0
3.51,0
3.56,0
4.01,0
4.06,0
4.11,0
4.16,0
4.21,0
4.26,0
4.31,0
4.36,0
4.41,0
4.46,0
4.51,0.8
4.56,0
5.01,0
5.06,0
5.11,0
5.16,0
5.21,0
5.26,0
5.31,0
5.36,0
5.41,0
5.46,0
5.51,0.8
5.56,0
6.01,0
6.06,0
6.11,0
6.16,0
6.21,0
6.26,0
6.31,0
6.36,0
6.41,0
6.46,0
6.51,0.8
6.56,0
7.01,0
7.06,0
7.11,0
7.16,0
7.21,0
7.26,0
7.31,0
7.36,0
7.41,1.7
7.46,1.7
7.51,3.3
7.56,2.5
8.01,5
8.06,5.8
8.11,9.1
8.16,5.8
8.21,10
8.26,6.7
8.31,3.3
8.36,2.5
8.41,1.6
8.46,10.8
8.51,20.8
8.56,15.8
9.01,26.7
9.06,33.3
9.11,20.8
9.16,35.8
9.21,41.6
9.26,15
9.31,22.5
9.36,12.5
9.41,13.3
9.46,28.3
9.51,38.3
9.56,49.1
10.01,10.8
10.06,25.8
10.11,41.7
10.16,23.3
10.21,38.3
10.26,8.3
10.31,5
10.36,4.1
10.41,5
10.46,9.2
10.51,11.6
10.56,12.5
11.01,6.6
11.06,32.5
11.11,29.1
11.16,48.3
11.21,25.8
11.26,6.7
11.31,14.2
11.36,45
11.41,58.3
11.46,48.3
11.51,157.5
11.56,136.6
12.01,159.1
12.06,114.2
12.11,130
12.16,115.8
12.21,130
12.26,158.3
12.31,154.1
12.36,150.8
12.41,128.3
12.46,73.3
12.51,110
12.56,134.2
13.01,30.8
13.06,69.1
13.11,46.7
13.16,117.5
13.21,45.8
13.26,22.5
13.31,19.2
13.36,27.5
13.41,16.6
13.46,28.3
13.51,55.8
13.56,45.8
14.01,80.8
14.06,57.5
14.11,143.3
14.16,42.5
14.21,133.3
14.26,135
14.31,47.5
14.36,121.7
14.41,113.3
14.46,125.8
14.51,51.6
14.56,20.8
15.01,19.1
15.06,20
15.11,30
15.16,65
15.21,59.1
15.26,22.5
15.31,31.7
15.36,11.7
15.41,7.5
15.46,7.5
15.51,6.7
15.56,13.3
16.01,26.6
16.06,32.5
16.11,2.5
16.16,10
16.21,12.5
16.26,6.6
16.31,3.3
16.36,0.8
16.41,0
16.46,0
16.51,0
16.56,0
17.01,0
17.06,0
17.11,0
17.16,0
17.21,0
17.26,0
17.31,0
17.36,0
17.41,0
17.46,0
17.51,0
17.56,0
18.01,0
18.06,0
18.11,0
18.16,0
18.21,0
18.26,0
18.31,0
18.36,0
18.41,0
18.46,0
18.51,0
18.56,0
19.01,0
19.06,0
19.11,0
19.16,0
19.21,0
19.26,0
19.31,0
19.36,0
19.41,0
19.46,0
19.51,0
19.56,0
20.01,0
20.06,0
20.11,0
20.16,0
20.21,0
20.26,0
20.31,0
20.36,0
20.41,0
20.46,0
20.51,0
20.56,0
21.01,0
21.06,0
21.11,0
21.16,0
21.21,0
21.26,0
21.31,0
21.36,0
21.41,0.8
21.46,0
21.51,0
21.56,0
22.01,0
22.06,0
22.11,0.8
22.16,0
22.21,0
22.26,0
22.31,0
22.36,0
22.41,0.8
22.46,0
22.51,0
22.56,0
23.01,0
23.06,0
23.11,0.8
23.16,0
23.21,0
23.26,0
23.31,0
23.36,0
23.41,0
23.46,0
23.51,0
23.56,0
