date,temp
0.01,25.03
0.06,24.9
0.11,24.86
0.16,24.9
0.21,24.9
0.26,24.9
0.31,24.8
0.36,24.83
0.41,24.8
0.46,24.8
0.51,24.77
0.56,24.77
1.01,24.76
1.06,24.73
1.11,24.7
1.16,24.76
1.21,24.76
1.26,24.67
1.31,24.63
1.36,24.57
1.41,24.5
1.46,24.46
1.51,24.4
1.56,24.3
2.01,24.16
2.06,24.03
2.11,23.93
2.16,23.73
2.21,23.63
2.26,23.66
2.31,23.66
2.36,23.63
2.41,23.5
2.46,23.46
2.51,23.56
2.56,23.56
3.01,23.53
3.06,23.87
3.11,24.06
3.16,24.1
3.21,24.1
3.26,24.1
3.31,24.03
3.36,24.06
3.41,24.06
3.46,24
3.51,24.03
3.56,23.9
4.01,23.73
4.06,23.57
4.11,23.43
4.16,23.37
4.21,23.27
4.26,23.2
4.31,23.27
4.36,23.2
4.41,23.43
4.46,23.57
4.51,23.47
4.56,23.5
5.01,23.6
5.06,23.67
5.11,23.9
5.16,23.9
5.21,23.77
5.26,23.7
5.31,23.83
5.36,23.8
5.41,23.9
5.46,24
5.51,24.07
5.56,24.07
6.01,24.07
6.06,24.13
6.11,24.03
6.16,24.06
6.21,24.06
6.26,24
6.31,24.13
6.36,24.26
6.41,24.3
6.46,24.3
6.51,24.33
6.56,24.3
7.01,24.27
7.06,24.23
7.11,24.17
7.16,24.23
7.21,24.2
7.26,24.47
7.31,24.53
7.36,24.67
7.41,24.73
7.46,24.56
7.51,24.6
7.56,24.67
8.01,24.77
8.06,24.9
8.11,25.06
8.16,25.3
8.21,25.5
8.26,25.67
8.31,25.8
8.36,26
8.41,26.1
8.46,26.2
8.51,26.23
8.56,26.3
9.01,26.4
9.06,26.67
9.11,26.83
9.16,26.93
9.21,27.03
9.26,27.16
9.31,27.27
9.36,27.56
9.41,27.66
9.46,27.77
9.51,27.8
9.56,27.8
10.06,28.3
10.11,28.06
10.16,28.2
10.21,28.2
10.26,28.33
10.31,28.43
10.36,28.3
10.41,28.33
10.46,28.56
10.51,28.57
10.56,28.53
11.01,28.63
11.06,28.86
11.11,29
11.16,28.86
11.21,29.07
11.26,28.96
11.31,29.13
11.36,29.03
11.41,29.07
11.46,29.16
11.51,29.3
12.01,29.43
12.06,29.4
12.11,29.36
12.16,29.37
12.21,29.57
12.26,29.63
12.31,29.6
12.36,29.73
12.41,29.83
12.46,29.9
12.51,29.93
13.01,29.83
13.06,29.86
13.11,29.86
13.16,29.9
13.21,29.97
13.26,29.96
13.31,30.03
13.36,29.83
13.41,29.76
13.46,29.8
13.51,29.8
14.01,30
14.06,29.9
14.11,30.07
14.16,29.9
14.21,29.7
14.26,29.27
14.31,29.2
14.36,29.06
14.41,29.2
14.46,29.13
14.51,29.03
14.56,28.97
15.01,29
15.06,29.23
15.11,29.27
15.16,29.46
15.21,29.57
15.26,29.57
15.31,29.63
15.36,29.53
15.41,29.5
15.46,29.43
15.51,29.43
15.56,29.37
16.01,29.33
16.06,29.1
16.11,28.96
16.16,28.9
16.21,28.86
16.26,28.83
16.31,28.76
16.36,28.76
16.41,28.8
16.46,28.73
16.51,28.7
16.56,28.66
17.01,28.6
17.06,28.67
17.11,28.6
17.16,28.53
17.21,28.46
17.26,28.43
17.31,28.33
17.36,28.33
17.41,28.36
17.46,28.33
17.51,28.26
17.56,28.23
18.01,28.27
18.06,28.23
18.11,28.17
18.16,28.06
18.21,28.07
18.26,28
18.31,27.96
18.36,27.97
18.41,28
18.46,28.07
18.51,28.07
18.56,28.03
19.01,27.96
19.06,27.96
19.11,27.93
19.16,27.8
19.21,27.8
19.26,27.73
19.31,27.6
19.36,27.57
19.41,27.63
19.46,27.63
19.51,27.63
19.56,27.66
20.01,27.63
20.06,27.6
20.11,27.57
20.16,27.53
20.21,27.47
20.26,27.3
20.31,27.2
20.36,27.16
20.41,27.16
20.46,27.1
20.51,27.03
20.56,27
21.01,26.93
21.06,26.77
21.11,26.76
21.16,26.56
21.21,26.43
21.26,26.43
21.31,26.43
21.36,26.37
21.41,26.43
21.46,26.46
21.51,26.46
21.56,26.4
22.01,26.4
22.06,26.33
22.11,26.43
22.16,26.56
22.21,26.5
22.26,26.43
22.31,26.37
22.36,26.5
22.41,26.53
22.46,26.4
22.51,26.43
22.56,26.6
23.01,26.5
23.06,26.47
23.11,26.33
23.16,26.26
23.21,26.13
23.26,26.1
23.31,25.93
23.36,25.83
23.41,25.73
23.46,25.7
23.51,25.8
23.56,25.8
