Date,Solar
0.01,0
0.06,0
0.11,0
0.16,0
0.21,0
0.26,0
0.31,0
0.36,0
0.41,0
0.46,0
0.51,0
0.56,0
1.01,0
1.06,0
1.11,0
1.16,0
1.21,0
1.26,0
1.31,0
1.36,0
1.41,0
1.46,0
1.51,0
1.56,0
2.01,0
2.06,0
2.11,0
2.16,0
2.21,0
2.26,0
2.31,0
2.36,0
2.41,0
2.46,0
2.51,0
2.56,0
3.01,0
3.06,0
3.11,0
3.16,0
3.21,0
3.26,0
3.31,0
3.36,0
3.41,0
3.46,0
3.51,0
3.56,0
4.01,0
4.06,0
4.11,0
4.16,0
4.21,0
4.26,0
4.31,0
4.36,0
4.41,0
4.46,0
4.51,0
4.56,0
5.01,0
5.06,0
5.11,0
5.16,0
5.21,0
5.26,0
5.31,0
5.36,0
5.41,0
5.46,0
5.51,0
5.56,0
6.01,0
6.06,0
6.11,0.8
6.16,0
6.21,0
6.26,0
6.31,0
6.36,0
6.41,0
6.46,0
6.51,0
6.56,0
7.01,0
7.06,0
7.11,0
7.16,0
7.21,0.8
7.26,1.6
7.31,4.1
7.36,7.5
7.41,6.6
7.46,24.1
7.51,17.5
7.56,19.1
8.01,40.8
8.06,31.6
8.11,46.6
8.16,50.8
8.21,54.1
8.26,58.3
8.31,64.1
8.36,70
8.41,70.8
8.46,85
8.51,62.5
8.56,24.2
9.01,29.1
9.06,42.5
9.11,119.1
9.16,114.2
9.21,75.8
9.26,43.3
9.31,47.5
9.36,55
9.41,54.2
9.46,61.6
9.51,61.6
9.56,53.3
10.01,50
10.06,52.5
10.11,53.3
10.16,60.8
10.21,76.6
10.26,89.1
10.31,103.3
10.36,86.7
10.41,79.1
10.46,73.3
10.51,70.8
10.56,76.6
11.01,89.1
11.06,100.8
11.11,115.8
11.16,119.1
11.21,96.7
11.26,86.6
11.31,82.5
11.36,83.3
11.41,90.8
11.46,86.7
11.51,92.5
11.56,80
12.01,78.3
12.06,105.8
12.11,145.8
12.16,135
12.21,143.3
12.26,197.5
12.31,180.8
12.36,129.2
12.41,85.8
12.46,86.7
12.51,74.1
12.56,69.2
13.01,98.3
13.06,97.5
13.11,105.8
13.16,99.1
13.21,141.6
13.26,118.3
13.31,96.7
13.36,100
13.41,53.3
13.46,65.8
13.51,48.3
13.56,48.3
14.01,50.8
14.06,48.3
14.11,80
14.16,79.1
14.21,77.5
14.26,88.3
14.31,87.5
14.36,79.1
14.41,97.5
14.46,71.7
14.51,70
14.56,75
15.01,61.6
15.06,59.2
15.11,35
15.16,35
15.21,49.1
15.26,35.8
15.31,26.6
15.36,38.3
15.41,44.1
15.46,39.2
15.51,30.8
15.56,25.8
16.01,15.8
16.06,13.3
16.11,10
16.16,8.3
16.21,7.5
16.26,5.8
16.31,3.3
16.36,0.8
16.41,0
16.46,0
16.51,0
16.56,0
17.01,0
17.06,0
17.11,0
17.16,0
17.21,0
17.26,0
17.31,0
17.36,0
17.41,0
17.46,0
17.51,0
17.56,0
18.01,0
18.06,0
18.11,0
18.16,0
18.21,0
18.26,0
18.31,0
18.36,0
18.41,0
18.46,0
18.51,0
18.56,0
19.01,0
19.06,0
19.11,0
19.16,0
19.21,0
19.26,0
19.31,0
19.36,0
19.41,0
19.46,0
19.51,0
19.56,0
20.01,0
20.06,0
20.11,0
20.16,0
20.21,0
20.26,0
20.31,0
20.36,0
20.41,0
20.46,0
20.51,0
20.56,0
21.01,0
21.06,0
21.11,0
21.16,0
21.21,0
21.26,0
21.31,0
21.36,0
21.41,0
21.46,0
21.51,0
21.56,0
22.01,0
22.06,0
22.11,0
22.16,0
22.21,0
22.26,0
22.31,0
22.36,0
22.41,0
22.46,0
22.51,0
22.56,0
23.01,0
23.06,0
23.11,0
23.16,0
23.21,0
23.26,0.8
23.31,0
23.36,0
23.41,0
23.46,
23.51,
23.56,
