date,temp
0.01,21.96
0.06,22
0.11,21.86
0.16,21.9
0.21,21.93
0.26,21.83
0.31,21.73
0.36,21.67
0.41,21.63
0.46,21.6
0.51,21.6
0.56,21.63
1.01,21.53
1.06,21.47
1.11,21.4
1.16,21.33
1.21,21.33
1.26,21.2
1.31,21.2
1.36,21.16
1.41,21.13
1.46,21.16
1.51,21.13
1.56,21.13
2.01,21.2
2.06,21.2
2.11,21.1
2.16,21.06
2.21,21.03
2.26,21.17
2.31,21.4
2.36,21.33
2.41,21.23
2.46,21.27
2.51,21.23
2.56,21.66
3.01,21.86
3.06,21.56
3.11,21.5
3.16,21.43
3.21,21.53
3.26,21.63
3.31,21.66
3.36,21.7
3.41,21.67
3.46,21.33
3.51,21.27
3.56,21.3
4.01,21.4
4.06,21.5
4.11,21.7
4.16,21.77
4.21,21.93
4.26,22.06
4.31,22
4.36,22
4.41,22.03
4.46,21.96
4.51,21.93
4.56,21.93
5.01,21.9
5.06,21.86
5.11,21.8
5.16,21.8
5.21,21.8
5.26,21.73
5.31,21.76
5.36,21.83
5.41,21.86
5.46,21.8
5.51,21.8
5.56,21.8
6.01,21.83
6.06,21.83
6.11,21.76
6.16,21.77
6.21,21.77
6.26,21.77
6.31,21.7
6.36,21.66
6.41,21.7
6.46,21.7
6.51,21.63
6.56,21.5
7.01,21.43
7.06,21.33
7.11,21.33
7.16,21.3
7.21,21.27
7.26,21.3
7.31,21.36
7.36,21.43
7.41,21.43
7.46,21.57
7.51,21.67
7.56,21.73
8.01,21.8
8.06,22
8.11,22.3
8.16,22.46
8.21,22.36
8.26,22.36
8.31,22.36
8.36,22.7
8.41,23
8.46,23.53
8.51,23.8
8.56,23.73
9.01,24.03
9.06,24.1
9.11,24.2
9.16,24.76
9.21,25.1
9.26,25.37
9.31,25.47
9.36,25.66
9.41,25.43
9.46,26.2
9.51,26.26
9.56,26.26
10.06,26.37
10.11,26.53
10.16,26.43
10.21,26.63
10.26,26.3
10.31,26.8
10.36,27.2
10.41,26.83
10.46,26.7
10.51,26.8
10.56,26.33
11.01,26.06
11.06,26.6
11.11,26.53
11.16,26.37
11.21,26.1
11.26,26.67
11.31,26.3
11.36,26.63
11.41,26.6
11.46,26.63
11.51,26.8
12.01,26.63
12.06,26.2
12.11,26.3
12.16,26.87
12.21,26.93
12.26,26.87
12.31,26.43
12.36,26.33
12.41,26.47
12.46,26.73
12.51,27
13.01,27.2
13.06,27.3
13.11,27.03
13.16,27.36
13.21,26.5
13.26,26.7
13.31,26.8
13.36,26.93
13.41,26.53
13.46,26.73
13.51,26.53
14.01,26.9
14.06,26.83
14.11,26.5
14.16,26.6
14.21,26.5
14.26,26.57
14.31,26.2
14.36,26.2
14.41,26.3
14.46,26.33
14.51,26.1
14.56,25.87
15.01,26.2
15.06,26.06
15.11,25.9
15.16,26
15.21,26
15.26,25.9
15.31,25.6
15.36,25.57
15.41,25.5
15.46,25.6
15.51,25.5
15.56,25.43
16.01,25.43
16.06,25.3
16.11,25.27
16.16,25.3
16.21,25.23
16.26,25.1
16.31,25.17
16.36,24.83
16.41,24.73
16.46,24.63
16.51,24.63
16.56,24.5
17.01,24.46
17.06,24.43
17.11,24.47
17.16,24.4
17.21,24.4
17.26,24.4
17.31,24.4
17.36,24.43
17.41,24.5
17.46,24.33
17.51,24.26
17.56,24.26
18.01,24.27
18.06,24.3
18.11,24.3
18.16,24.33
18.21,24.3
18.26,24.26
18.31,24.3
18.36,24.3
18.41,24.33
18.46,24.33
18.51,24.37
18.56,24.43
19.01,24.36
19.06,24.36
19.11,24.4
19.16,24.43
19.21,24.47
19.26,24.47
19.31,24.47
19.36,24.5
19.41,24.46
19.46,24.5
19.51,24.46
19.56,24.53
20.01,24.5
20.06,24.47
20.11,24.46
20.16,24.43
20.21,24.4
20.26,24.4
20.31,24.4
20.36,24.4
20.41,24.4
20.46,24.43
20.51,24.4
20.56,24.46
21.01,24.43
21.06,24.33
21.11,24.3
21.16,24.27
21.21,24.36
21.26,24.33
21.31,24.33
21.36,24.3
21.41,24.3
21.46,24.23
21.51,24.23
21.56,24.2
22.01,24.2
22.06,24.2
22.11,24.16
22.16,24.2
22.21,24.2
22.26,24.13
22.31,24.13
22.36,24.06
22.41,24.03
22.46,24.03
22.51,24.06
22.56,24.08
23.01,24
23.06,23.93
23.11,23.93
23.16,23.97
23.21,23.9
23.26,23.87
23.31,23.83
23.36,23.87
23.41,23.76
23.46,23.7
23.51,23.6
23.56,23.55
