Date,Solar
0.01,0
0.06,0
0.11,0
0.16,0
0.21,0
0.26,0
0.31,0
0.36,0
0.41,0
0.46,0
0.51,0
0.56,0
1.01,0
1.06,0
1.11,0
1.16,0
1.21,0
1.26,0
1.31,0
1.36,0
1.41,0
1.46,0
1.51,0
1.56,0
2.01,0
2.06,0
2.11,0
2.16,0
2.21,0
2.26,0
2.31,0
2.36,0
2.41,0
2.46,0
2.51,0
2.56,0
3.01,0
3.06,0
3.11,0
3.16,0
3.21,0
3.26,0
3.31,0
3.36,0
3.41,0
3.46,0.8
3.51,0
3.56,0
4.01,0
4.06,0
4.11,0
4.16,0
4.21,0
4.26,0
4.31,0
4.36,0
4.41,0
4.46,0
4.51,0
4.56,0
5.01,0
5.06,0
5.11,0
5.16,0
5.21,0
5.26,0
5.31,0
5.36,0
5.41,0
5.46,0
5.51,0
5.56,0
6.01,0
6.06,0.8
6.11,0
6.16,0
6.21,0
6.26,0
6.31,0
6.36,0
6.41,0
6.46,0
6.51,0
6.56,0
7.01,0.8
7.06,0
7.11,0
7.16,0
7.21,0.8
7.26,1.6
7.31,2.5
7.36,3.3
7.41,22.5
7.46,25.8
7.51,30
7.56,32.5
8.01,36.6
8.06,40.8
8.11,44.2
8.16,48.3
8.21,51.6
8.26,56.7
8.31,60
8.36,63.3
8.41,67.4
8.46,70.8
8.51,75
8.56,75
9.01,25
9.06,22.5
9.11,90
9.16,93.3
9.21,97.5
9.26,100.8
9.31,104.2
9.36,107.5
9.41,110.8
9.46,114.1
9.51,117.5
9.56,120.8
10.01,124.2
10.06,128.3
10.11,130.8
10.16,133.3
10.21,136.7
10.26,138.3
10.31,141.6
10.36,142.5
10.41,145
10.46,146.6
10.51,150
10.56,150.8
11.01,154.1
11.06,155
11.11,155.8
11.16,158.3
11.21,159.2
11.26,159.1
11.31,160.8
11.36,161.6
11.41,162.5
11.46,165
11.51,165
11.56,165.8
12.01,165.8
12.06,165.8
12.11,176.7
12.16,195
12.21,194.1
12.26,191.7
12.31,182.5
12.36,181.7
12.41,178.3
12.46,182.5
12.51,177.5
12.56,135
13.01,139.1
13.06,167.5
13.11,158.3
13.16,155
13.21,161.6
13.26,59.2
13.31,120.8
13.36,73.3
13.41,50.8
13.46,18.3
13.51,40.8
13.56,24.1
14.01,28.3
14.06,21.6
14.11,25
14.16,29.1
14.21,25.8
14.26,81.7
14.31,39.1
14.36,105
14.41,49.2
14.46,90
14.51,85.8
14.56,74.1
15.01,40.8
15.06,45.8
15.11,68.3
15.16,65
15.21,15.8
15.26,53.3
15.31,49.1
15.36,18.3
15.41,3.3
15.46,35
15.51,30
15.56,10
16.01,3.3
16.06,3.3
16.11,3.3
16.16,9.1
16.21,10.8
16.26,6.7
16.31,4.2
16.36,1.6
16.41,0
16.46,0
16.51,0
16.56,0
17.01,0
17.06,0
17.11,0
17.16,0
17.21,0
17.26,0
17.31,0
17.36,0
17.41,0
17.46,0
17.51,0.8
17.56,0
18.01,0
18.06,0
18.11,0
18.16,0
18.21,0
18.26,0
18.31,0
18.36,0
18.41,0
18.46,0
18.51,0
18.56,0
19.01,0
19.06,0
19.11,0
19.16,0
19.21,0
19.26,0
19.31,0
19.36,0
19.41,0
19.46,0
19.51,0
19.56,0
20.01,0
20.06,0
20.11,0
20.16,0
20.21,0
20.26,0
20.31,0
20.36,0
20.41,0
20.46,0
20.51,0
20.56,0
21.01,0.8
21.06,0
21.11,0
21.16,0
21.21,0
21.26,0
21.31,0
21.36,0
21.41,0
21.46,0
21.51,0
21.56,0
22.01,0
22.06,0
22.11,0
22.16,0
22.21,0
22.26,0
22.31,0
22.36,0
22.41,0.4
22.46,0
22.51,0
22.56,0
23.01,0
23.06,0
23.11,0
23.16,0
23.21,0
23.26,0
23.31,0
23.36,0
23.41,
23.46,
23.51,
23.56,
