Date,Solar
0.01,0
0.06,0
0.11,0
0.16,0
0.21,0
0.26,0
0.31,0
0.36,0
0.41,0
0.46,0
0.51,0
0.56,0
1.01,0
1.06,0
1.11,0
1.16,0
1.21,0
1.26,0
1.31,0
1.36,0.8
1.41,0
1.46,0
1.51,0
1.56,0
2.01,0
2.06,0
2.11,0
2.16,0
2.21,0
2.26,0
2.31,0
2.36,0
2.41,0
2.46,0
2.51,0
2.56,0
3.01,0
3.06,0
3.11,0
3.16,0
3.21,0
3.26,0
3.31,0
3.36,0
3.41,0
3.46,0
3.51,0
3.56,0
4.01,0
4.06,0
4.11,0
4.16,0
4.21,0
4.26,0
4.31,0
4.36,0
4.41,0
4.46,0
4.51,0
4.56,0
5.01,0
5.06,0
5.11,0
5.16,0
5.21,0
5.26,0
5.31,0
5.36,0
5.41,0
5.46,0
5.51,0
5.56,0
6.01,0
6.06,0
6.11,0
6.16,0
6.21,0.8
6.26,0
6.31,0
6.36,0
6.41,0
6.46,0
6.51,0
6.56,0
7.01,0
7.06,0
7.11,0
7.16,0.8
7.21,0
7.26,7.5
7.31,11.6
7.36,15
7.41,13.3
7.46,3.3
7.51,5
7.56,4.1
8.01,4.2
8.06,19.1
8.11,38.3
8.16,42.5
8.21,47.5
8.26,50
8.31,55
8.36,57.5
8.41,61.6
8.46,30
8.51,22.5
8.56,71.6
9.01,79.2
9.06,83.3
9.11,87.5
9.16,91.6
9.21,95
9.26,97.5
9.31,101.6
9.36,105
9.41,108.3
9.46,110
9.51,114.2
9.56,117.5
10.01,104.1
10.06,123.3
10.11,126.6
10.16,129.1
10.21,132.5
10.26,135.8
10.31,128.3
10.36,136.6
10.41,140
10.46,141.6
10.51,143.3
10.56,107.5
11.01,125.8
11.06,147.5
11.11,148.3
11.16,150
11.21,148.3
11.26,148.3
11.31,153.3
11.36,153.3
11.41,150.8
11.46,134.1
11.51,165.8
11.56,89.2
12.01,173.3
12.06,126.7
12.11,72.5
12.16,154.1
12.21,140.8
12.26,159.2
12.31,69.2
12.36,142.5
12.41,92.5
12.46,42.5
12.51,57.5
12.56,81.6
13.01,74.1
13.06,150
13.11,90.8
13.16,129.2
13.21,125
13.26,154.2
13.31,101.6
13.36,120
13.41,134.2
13.46,61.6
13.51,114.1
13.56,125.8
14.01,124.1
14.06,134.1
14.11,38.3
14.16,138.3
14.21,127.5
14.26,112.5
14.31,118.3
14.36,110.8
14.41,93.3
14.46,25
14.51,70.8
14.56,79.2
15.01,70
15.06,64.2
15.11,45
15.16,35
15.21,55
15.26,33.3
15.31,3.3
15.36,3.3
15.41,5
15.46,6.7
15.51,21.6
15.56,25.8
16.01,2.5
16.06,9.1
16.11,8.3
16.16,1.7
16.21,0
16.26,0
16.31,0
16.36,0
16.41,0
16.46,0
16.51,0
16.56,0
17.01,0
17.06,0
17.11,0
17.16,0
17.21,0
17.26,0
17.31,0
17.36,0
17.41,0
17.46,0
17.51,0
17.56,0
18.01,0
18.06,0
18.11,0
18.16,0
18.21,0
18.26,0
18.31,0.8
18.36,0
18.41,0
18.46,0
18.51,0
18.56,0
19.01,0
19.06,0
19.11,0
19.16,0
19.21,0
19.26,0
19.31,0
19.36,0
19.41,0
19.46,0
19.51,0
19.56,0
20.01,0
20.06,0
20.11,0
20.16,0
20.21,0
20.26,0
20.31,0
20.36,0
20.41,0
20.46,0
20.51,0
20.56,0
21.01,0
21.06,0
21.11,0
21.16,0
21.21,0
21.26,0
21.31,0
21.36,0
21.41,0
21.46,0
21.51,0
21.56,0
22.01,0
22.06,0
22.11,0.8
22.16,0
22.21,0
22.26,0
22.31,0
22.36,0
22.41,0
22.46,0
22.51,0.4
22.56,0
23.01,0
23.06,0
23.11,0
23.16,0
23.21,0
23.26,0
23.31,0
23.36,0
23.41,0
23.46,0
23.51,
23.56,
